bootstrap,n_points,n_active_cases,slope,intercept,zero_crossing
1,5068365,9,-486.1442466,179.6873834,0.3696174225
2,5066661,9,-485.7675141,179.4500039,0.3694154069
3,5067637,9,-485.0760516,179.2463251,0.369522108
4,5069151,9,-484.8956901,179.2757196,0.3697201755
5,5069752,9,-483.709001,178.8367189,0.3697196426
6,5068380,9,-484.1880437,178.8565979,0.3693949081
7,5069347,9,-484.9080765,179.1713784,0.3694955541
8,5070379,9,-484.0592376,178.9160157,0.3696159515
9,5068149,9,-483.3914286,178.5829077,0.3694374726
10,5068942,9,-481.3287306,177.9812883,0.3697707553
11,5067981,9,-482.7950439,178.4321033,0.3695814727
12,5068748,9,-486.1559625,179.6262272,0.3694827197
13,5068587,9,-482.3973317,178.3920755,0.3698031971
14,5069434,9,-483.9241298,178.7661445,0.3694094456
15,5067094,9,-482.5715434,178.3734392,0.3696310768
16,5068864,9,-480.6514027,177.6608113,0.369625076
17,5069089,9,-484.0771222,178.8173369,0.3693984466
18,5068235,9,-483.2486014,178.5906292,0.3695626405
19,5069178,9,-481.3897134,177.9528002,0.3696647336
20,5067995,9,-484.4956406,179.0094741,0.3694759233
21,5068713,9,-483.5948283,178.7847224,0.3696994093
22,5068424,9,-483.2807598,178.5776361,0.369511164
23,5067852,9,-484.4555573,179.0717015,0.3696349414
24,5068587,9,-484.0984672,178.8173186,0.369382121
25,5068126,9,-482.7460748,178.4355122,0.3696260238
26,5070633,9,-483.4847914,178.6854215,0.369578164
27,5068861,9,-483.9040684,178.9461787,0.3697968056
28,5069147,9,-482.7782525,178.4665863,0.3696657531
29,5067769,9,-482.4063533,178.3789315,0.3697690345
30,5069384,9,-480.952548,177.8673516,0.3698230778
31,5068216,9,-482.7185179,178.3963042,0.3695659014
32,5067896,9,-484.1212649,178.8958063,0.3695268505
33,5067961,9,-483.8102586,178.8249358,0.3696179082
34,5068485,9,-482.7930135,178.4990221,0.3697216346
35,5069340,9,-483.1140099,178.5954711,0.36967562
