metric,value
n_bootstrap,1000
n_sample_profiles_per_case,10000
random_seed,20260909
height_range,H_to_10H
yb_fit_min,0.25
yb_fit_max,0.45
n_cases,9
n_valid_bootstrap_crossovers,1000
crossover_median,0.3757767755
crossover_q25,0.3757340244
crossover_q75,0.3758219809
slope_median,-755.7169058
intercept_median,283.9810032
g1200_valid_profiles,65536
g1200_valid_points,5639640
g800_valid_profiles,65536
g800_valid_points,5615097
g400_valid_profiles,65536
g400_valid_points,5602187
i1200_valid_profiles,65536
i1200_valid_points,5771164
i800_valid_profiles,65536
i800_valid_points,5782432
i400_valid_profiles,65536
i400_valid_points,5761950
ATTO_valid_profiles,65536
ATTO_valid_points,8987645
Sinusoidal_valid_profiles,65536
Sinusoidal_valid_points,8660739
Flat_valid_profiles,65536
Flat_valid_points,8727587
