yB_center,residual_center,count
0.1275,158.75,1
0.1275,243.75,1
0.1325,218.75,1
0.1375,183.75,1
0.1375,208.75,1
0.1375,261.25,1
0.1375,273.75,1
0.1375,293.75,1
0.1425,36.25,1
0.1425,46.25,1
0.1425,118.75,1
0.1425,136.25,2
0.1425,153.75,1
0.1425,166.25,1
0.1425,168.75,1
0.1425,178.75,1
0.1425,188.75,2
0.1425,198.75,3
0.1425,206.25,1
0.1425,208.75,2
0.1425,211.25,2
0.1425,223.75,1
0.1425,236.25,1
0.1425,241.25,1
0.1425,243.75,2
0.1425,248.75,1
0.1425,253.75,1
0.1425,258.75,2
0.1425,261.25,1
0.1425,268.75,1
0.1425,276.25,2
0.1425,286.25,3
0.1425,288.75,1
0.1425,291.25,1
0.1425,293.75,1
0.1425,298.75,1
0.1475,43.75,1
0.1475,51.25,1
0.1475,93.75,1
0.1475,106.25,1
0.1475,111.25,1
0.1475,116.25,1
0.1475,146.25,1
0.1475,151.25,1
0.1475,156.25,1
0.1475,161.25,1
0.1475,168.75,2
0.1475,171.25,1
0.1475,173.75,1
0.1475,178.75,3
0.1475,181.25,2
0.1475,188.75,2
0.1475,191.25,1
0.1475,196.25,1
0.1475,203.75,2
0.1475,206.25,5
0.1475,208.75,1
0.1475,211.25,2
0.1475,213.75,1
0.1475,218.75,1
0.1475,221.25,1
0.1475,223.75,1
0.1475,238.75,1
0.1475,241.25,4
0.1475,243.75,1
0.1475,246.25,1
0.1475,251.25,1
0.1475,253.75,1
0.1475,256.25,1
0.1475,261.25,1
0.1475,263.75,1
0.1475,266.25,1
0.1475,271.25,1
0.1475,278.75,1
0.1475,281.25,2
0.1475,291.25,1
0.1475,293.75,2
0.1475,296.25,1
0.1525,36.25,1
0.1525,38.75,1
0.1525,73.75,1
0.1525,98.75,1
0.1525,116.25,1
0.1525,121.25,2
0.1525,151.25,1
0.1525,153.75,1
0.1525,156.25,1
0.1525,158.75,2
0.1525,163.75,1
0.1525,166.25,1
0.1525,168.75,1
0.1525,171.25,1
0.1525,176.25,1
0.1525,186.25,1
0.1525,188.75,5
0.1525,191.25,5
0.1525,193.75,1
0.1525,196.25,4
0.1525,198.75,2
0.1525,201.25,3
0.1525,203.75,2
0.1525,206.25,1
0.1525,208.75,3
0.1525,213.75,3
0.1525,216.25,2
0.1525,218.75,5
0.1525,223.75,4
0.1525,226.25,3
0.1525,228.75,2
0.1525,231.25,4
0.1525,233.75,1
0.1525,236.25,4
0.1525,241.25,1
0.1525,243.75,1
0.1525,246.25,2
0.1525,248.75,3
0.1525,251.25,1
0.1525,253.75,1
0.1525,258.75,2
0.1525,261.25,3
0.1525,266.25,4
0.1525,268.75,1
0.1525,271.25,1
0.1525,273.75,2
0.1525,276.25,4
0.1525,278.75,5
0.1525,281.25,3
0.1525,283.75,4
0.1525,288.75,4
0.1525,291.25,2
0.1525,298.75,1
0.1575,1.25,1
0.1575,91.25,1
0.1575,93.75,1
0.1575,101.25,2
0.1575,106.25,1
0.1575,108.75,1
0.1575,111.25,1
0.1575,113.75,1
0.1575,121.25,1
0.1575,128.75,1
0.1575,133.75,1
0.1575,138.75,2
0.1575,146.25,2
0.1575,148.75,2
0.1575,151.25,1
0.1575,153.75,1
0.1575,156.25,3
0.1575,158.75,1
0.1575,163.75,2
0.1575,166.25,2
0.1575,168.75,4
0.1575,171.25,4
0.1575,173.75,4
0.1575,176.25,3
0.1575,178.75,3
0.1575,181.25,3
0.1575,183.75,2
0.1575,186.25,5
0.1575,188.75,4
0.1575,191.25,2
0.1575,193.75,5
0.1575,196.25,5
0.1575,198.75,3
0.1575,201.25,7
0.1575,203.75,4
0.1575,206.25,5
0.1575,208.75,4
0.1575,211.25,4
0.1575,213.75,4
0.1575,216.25,3
0.1575,218.75,1
0.1575,221.25,3
0.1575,223.75,6
0.1575,226.25,3
0.1575,228.75,3
0.1575,231.25,3
0.1575,233.75,3
0.1575,236.25,5
0.1575,238.75,1
0.1575,241.25,2
0.1575,248.75,2
0.1575,251.25,2
0.1575,253.75,4
0.1575,256.25,1
0.1575,258.75,4
0.1575,261.25,1
0.1575,263.75,1
0.1575,266.25,2
0.1575,268.75,1
0.1575,271.25,2
0.1575,273.75,3
0.1575,276.25,1
0.1575,278.75,1
0.1575,281.25,7
0.1575,283.75,1
0.1575,286.25,4
0.1575,288.75,3
0.1575,291.25,1
0.1575,293.75,2
0.1575,296.25,3
0.1575,298.75,1
0.1625,26.25,2
0.1625,31.25,1
0.1625,43.75,1
0.1625,46.25,1
0.1625,51.25,1
0.1625,78.75,1
0.1625,91.25,1
0.1625,93.75,1
0.1625,118.75,3
0.1625,121.25,1
0.1625,126.25,1
0.1625,128.75,1
0.1625,131.25,4
0.1625,133.75,1
0.1625,136.25,1
0.1625,138.75,1
0.1625,141.25,1
0.1625,143.75,1
0.1625,146.25,4
0.1625,148.75,6
0.1625,151.25,3
0.1625,153.75,1
0.1625,156.25,5
0.1625,158.75,4
0.1625,161.25,6
0.1625,163.75,3
0.1625,166.25,4
0.1625,168.75,8
0.1625,173.75,10
0.1625,176.25,12
0.1625,178.75,7
0.1625,181.25,6
0.1625,183.75,8
0.1625,186.25,6
0.1625,188.75,6
0.1625,191.25,8
0.1625,193.75,8
0.1625,196.25,5
0.1625,198.75,12
0.1625,201.25,7
0.1625,203.75,4
0.1625,206.25,7
0.1625,208.75,14
0.1625,211.25,3
0.1625,213.75,8
0.1625,216.25,12
0.1625,218.75,6
0.1625,221.25,7
0.1625,223.75,3
0.1625,226.25,5
0.1625,228.75,11
0.1625,231.25,6
0.1625,233.75,3
0.1625,236.25,5
0.1625,238.75,8
0.1625,241.25,3
0.1625,243.75,8
0.1625,246.25,1
0.1625,248.75,4
0.1625,251.25,5
0.1625,253.75,5
0.1625,258.75,4
0.1625,261.25,4
0.1625,263.75,4
0.1625,268.75,3
0.1625,271.25,5
0.1625,273.75,6
0.1625,276.25,1
0.1625,278.75,4
0.1625,281.25,4
0.1625,283.75,3
0.1625,286.25,1
0.1625,288.75,2
0.1625,291.25,4
0.1625,293.75,5
0.1625,296.25,4
0.1625,298.75,4
0.1675,-88.75,1
0.1675,33.75,1
0.1675,38.75,1
0.1675,46.25,1
0.1675,48.75,1
0.1675,56.25,2
0.1675,63.75,6
0.1675,71.25,1
0.1675,78.75,4
0.1675,93.75,3
0.1675,96.25,1
0.1675,98.75,1
0.1675,101.25,2
0.1675,103.75,1
0.1675,106.25,3
0.1675,108.75,2
0.1675,111.25,1
0.1675,116.25,1
0.1675,118.75,2
0.1675,123.75,3
0.1675,126.25,2
0.1675,128.75,4
0.1675,131.25,3
0.1675,133.75,4
0.1675,136.25,4
0.1675,138.75,4
0.1675,141.25,5
0.1675,143.75,2
0.1675,146.25,8
0.1675,148.75,6
0.1675,151.25,6
0.1675,153.75,5
0.1675,156.25,13
0.1675,158.75,8
0.1675,161.25,6
0.1675,163.75,8
0.1675,166.25,11
0.1675,168.75,7
0.1675,171.25,19
0.1675,173.75,14
0.1675,176.25,15
0.1675,178.75,5
0.1675,181.25,12
0.1675,183.75,13
0.1675,186.25,14
0.1675,188.75,20
0.1675,191.25,13
0.1675,193.75,14
0.1675,196.25,11
0.1675,198.75,12
0.1675,201.25,10
0.1675,203.75,16
0.1675,206.25,10
0.1675,208.75,10
0.1675,211.25,8
0.1675,213.75,14
0.1675,216.25,8
0.1675,218.75,6
0.1675,221.25,12
0.1675,223.75,3
0.1675,226.25,3
0.1675,228.75,10
0.1675,231.25,13
0.1675,233.75,5
0.1675,236.25,3
0.1675,238.75,8
0.1675,241.25,8
0.1675,243.75,2
0.1675,246.25,5
0.1675,248.75,7
0.1675,251.25,7
0.1675,253.75,4
0.1675,256.25,5
0.1675,258.75,6
0.1675,261.25,4
0.1675,263.75,5
0.1675,266.25,5
0.1675,268.75,5
0.1675,271.25,6
0.1675,273.75,2
0.1675,276.25,7
0.1675,278.75,6
0.1675,281.25,5
0.1675,283.75,5
0.1675,286.25,4
0.1675,288.75,6
0.1675,291.25,3
0.1675,293.75,5
0.1675,296.25,1
0.1675,298.75,3
0.1725,-96.25,1
0.1725,21.25,1
0.1725,31.25,1
0.1725,33.75,1
0.1725,38.75,2
0.1725,43.75,2
0.1725,46.25,2
0.1725,56.25,2
0.1725,58.75,2
0.1725,61.25,3
0.1725,63.75,1
0.1725,71.25,6
0.1725,73.75,1
0.1725,76.25,3
0.1725,83.75,3
0.1725,86.25,4
0.1725,88.75,2
0.1725,91.25,2
0.1725,93.75,3
0.1725,96.25,2
0.1725,98.75,4
0.1725,101.25,3
0.1725,103.75,3
0.1725,106.25,6
0.1725,108.75,1
0.1725,111.25,3
0.1725,113.75,4
0.1725,116.25,13
0.1725,118.75,3
0.1725,121.25,5
0.1725,123.75,8
0.1725,126.25,10
0.1725,128.75,9
0.1725,131.25,12
0.1725,133.75,9
0.1725,136.25,12
0.1725,138.75,12
0.1725,141.25,15
0.1725,143.75,16
0.1725,146.25,13
0.1725,148.75,10
0.1725,151.25,13
0.1725,153.75,17
0.1725,156.25,18
0.1725,158.75,17
0.1725,161.25,16
0.1725,163.75,25
0.1725,166.25,23
0.1725,168.75,14
0.1725,171.25,19
