case_label,case_name,surface,profile,ntwr,reference_towers,n_repeats,rms_error_mean,rms_error_std,rel_rms_error_mean,rel_rms_error_std,max_abs_error_mean,max_abs_error_std
g1200,Gap_12_9mps,forested,U,1,1000,100,0.6882627351618428,0.4855892721443287,0.06144223534055703,0.04334927465007368,1.0935548912969004,0.8395065623401895
g1200,Gap_12_9mps,forested,U,10,1000,100,0.27360090877685034,0.146367333524167,0.024424758987575502,0.013066428985795613,0.3681680619506958,0.1487378131410612
g1200,Gap_12_9mps,forested,U,100,1000,100,0.0792730109529952,0.06384236479999826,0.007076819281786563,0.005699302609804667,0.11916544736232497,0.06147258026512937
g1200,Gap_12_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,forested,Shear,1,1000,100,0.10447445897791503,0.05768855142166646,0.1817390076516952,0.10035237502836684,0.2668684734722101,0.17080878728453772
g1200,Gap_12_9mps,forested,Shear,10,1000,100,0.03443717733772229,0.01703025865491626,0.05990534430052521,0.029625061840716914,0.09169448862081858,0.044645886448748257
g1200,Gap_12_9mps,forested,Shear,100,1000,100,0.010285473434841937,0.0048667862830115,0.01789214085014974,0.008466039625190736,0.02798092635886208,0.01353442910814936
g1200,Gap_12_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,forested,PHI,1,1000,100,0.16067153733167353,0.06257097745442948,0.16880487853651446,0.06573837796362318,0.47542408351647053,0.3288777746848125
g1200,Gap_12_9mps,forested,PHI,10,1000,100,0.05689563636173754,0.01462301339533216,0.059775745877596015,0.01536324380180223,0.1957254208629026,0.09231117543798129
g1200,Gap_12_9mps,forested,PHI,100,1000,100,0.01684428395773542,0.0038101320191859397,0.017696957125956134,0.004003004411285841,0.05832762056743258,0.023141628069307897
g1200,Gap_12_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,forested,Skew,1,1000,100,0.08744392528264538,0.02657218102771649,0.2639083897456188,0.0801956394842388,0.2889054779288902,0.19964691047982336
g1200,Gap_12_9mps,forested,Skew,10,1000,100,0.026554933770531974,0.006113070052128127,0.08014358674465301,0.018449428804169696,0.0884745392075587,0.042599695743910204
g1200,Gap_12_9mps,forested,Skew,100,1000,100,0.008127211665693482,0.0020581981581399024,0.024528168616427058,0.0062117037854418225,0.02736966759675118,0.012636457321614156
g1200,Gap_12_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,patches,U,1,1000,100,0.7894351827922276,0.5048235041195127,0.07718890799208597,0.049360322241907485,1.3459113057044143,0.7809632078061317
g1200,Gap_12_9mps,patches,U,10,1000,100,0.23352812981840362,0.15605434533379375,0.02283376991428173,0.015258585842513342,0.3997864072623117,0.19968770255513826
g1200,Gap_12_9mps,patches,U,100,1000,100,0.06737254388218909,0.03735866898085108,0.0065875111779554055,0.003652832969098449,0.1277541573443532,0.06271663858931259
g1200,Gap_12_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,patches,Shear,1,1000,100,0.08815764687537962,0.04028620601870561,0.18264638012662673,0.08346558647094582,0.2659297653626432,0.16163956924334452
g1200,Gap_12_9mps,patches,Shear,10,1000,100,0.029038524451602973,0.0130729942572769,0.06016246534802919,0.02708483226512531,0.09054200727844139,0.05158522896069334
g1200,Gap_12_9mps,patches,Shear,100,1000,100,0.009368732089761331,0.0044473403659106145,0.019410284453145524,0.009214068748600585,0.027264153651106602,0.01508873016970721
g1200,Gap_12_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,patches,PHI,1,1000,100,0.17100912313533828,0.057133266572716335,0.17978624822954725,0.060065658824986136,0.5022755099895757,0.2778407463079448
g1200,Gap_12_9mps,patches,PHI,10,1000,100,0.05376368755870741,0.013921386196192053,0.05652313455531754,0.014635908005838836,0.15245316043537313,0.057220692913192754
g1200,Gap_12_9mps,patches,PHI,100,1000,100,0.015813327773521436,0.00610564195763699,0.0166249543901557,0.006419016953427237,0.04490905501762845,0.018654362168941285
g1200,Gap_12_9mps,patches,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g1200,Gap_12_9mps,patches,Skew,1,1000,100,0.08203928882312159,0.02105872600046712,0.25980257190052497,0.06668891520580636,0.27150772517119115,0.1731650958362064
g1200,Gap_12_9mps,patches,Skew,10,1000,100,0.02536855412848393,0.005963459446972063,0.08033730792313111,0.0188851235057412,0.08461448492472781,0.04477961487134839
g1200,Gap_12_9mps,patches,Skew,100,1000,100,0.007646915311287346,0.0018172354183030122,0.024216302865097933,0.005754833351149044,0.02844728403530203,0.014788007352338524
g1200,Gap_12_9mps,patches,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,forested,U,1,1000,100,0.679537574477036,0.4366631399747873,0.06364932235010991,0.04090033281243618,1.0860144801619471,0.6884779807764458
g800,Gap_8_9mps,forested,U,10,1000,100,0.215331077817667,0.1509268378321598,0.020169123384473648,0.014136658977032831,0.35583622650924274,0.16675282991395243
g800,Gap_8_9mps,forested,U,100,1000,100,0.0652900091359005,0.03944133199644864,0.006115430542498995,0.0036942976348168077,0.09566529230106914,0.042556516976670754
g800,Gap_8_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
