case_alias,case_name,surface,ntwr,n_repeats,n_unique_towers,n_candidate_towers,relative_rms_spread,absolute_rms_spread,mean_integrated_std,n_finite_levels,z_over_h_min,z_over_h_max
g1200,Gap_12_9mps,forested,10,100,36866,50155,0.0416436700322268,0.13383543396092762,0.12446727233945412,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,50,100,36866,50155,0.01789043468911464,0.057657451991491776,0.05358020720670528,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,100,100,36866,50155,0.012908493788603237,0.041546309114097464,0.03809506457361539,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,500,100,36866,50155,0.005466416244587259,0.017614933776067068,0.01629918656787295,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,10,100,15180,15381,0.04708564323675147,0.15210180552941677,0.1318124041134515,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,50,100,15180,15381,0.021490218662968793,0.06944842868694782,0.06199915192566747,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,100,100,15180,15381,0.014927017944366322,0.04815533189509036,0.041858908372440023,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,500,100,15180,15381,0.006554705877639873,0.02116076061249081,0.018110727700271487,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,forested,10,100,36839,50556,0.03598073346952377,0.11575678574891884,0.10810154032949834,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,forested,50,100,36839,50556,0.017271055976154703,0.055439292024511554,0.05334139653819523,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,forested,100,100,36839,50556,0.010835082812781355,0.03475670460243316,0.03283269309042428,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,forested,500,100,36839,50556,0.005617148598332306,0.018031161406215825,0.017131513303361136,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,empty,10,100,14832,14980,0.04094884559517898,0.13356771006289528,0.11815289434570203,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,empty,50,100,14832,14980,0.01875559135805192,0.06144791828273143,0.05532785135148967,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,empty,100,100,14832,14980,0.013451357034211813,0.044070732444243456,0.039119261115765,100,0.05008012820512821,9.965945512820513
g800,Gap_8_9mps,empty,500,100,14832,14980,0.00598487587956654,0.019593489059887285,0.01733526709701411,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,forested,10,100,37262,51730,0.036995633271814286,0.12156704993799737,0.11917871122182067,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,forested,50,100,37262,51730,0.01627056800424628,0.0537071283060933,0.052570896893405925,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,forested,100,100,37262,51730,0.011571282344305172,0.03821608225330268,0.03763808078810498,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,forested,500,100,37262,51730,0.005368625125581419,0.017730176314116847,0.017224612573390523,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,empty,10,100,13699,13806,0.03860947220534026,0.13126834252641195,0.12468326592758497,100,0.05008012820512821,9.965945512820513
