case_alias,case_name,surface,ntwr,reference_towers,n_repeats,n_candidate_towers,z_over_h,mean_deviation,q25_deviation,q75_deviation
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.05008012820512821,0.6389394811510294,0.31312676784485355,0.7491930842213947
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.1502403846153846,0.7308974382087651,0.3184853421706622,0.8182107370035803
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.250400641025641,0.5296186831457721,0.2515486163340838,0.7243014408693972
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.3505608974358974,0.3798416090985496,0.20485597266043432,0.47539476163582006
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.45072115384615385,0.2506898864418536,0.08511765508735204,0.34882267526338784
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.5508814102564102,0.22831508730918287,0.06694967052986103,0.3179662513998643
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.6510416666666666,0.21739752568397527,0.059257632430646585,0.3026836597992759
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.7512019230769231,0.21235480680597832,0.06670775711912555,0.28124557903088165
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.8513621794871795,0.2036980281013191,0.06794481016782947,0.27716907962436677
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.9515224358974359,0.19760275009278958,0.06562289071673758,0.2753154063814577
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.0516826923076923,0.19617037037449822,0.0750607308337787,0.28339202525363527
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.1518429487179487,0.19942190772172608,0.07360445205155049,0.2924227497856282
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.252003205128205,0.20336207368299258,0.07137099061651629,0.3053330052453549
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.3521634615384615,0.20747283843306305,0.07984464610155365,0.31433620676631496
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.4523237179487178,0.21089472538720147,0.08193338125678541,0.30931399489206
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.5524839743589745,0.21339123219338452,0.07615981858642706,0.3082206836904733
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.6526442307692308,0.2139372018213975,0.07957893958678686,0.3184700714276699
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.7528044871794872,0.2119684796769154,0.07476704036441856,0.3165254890391161
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.8529647435897436,0.20826836447039132,0.07387362502576542,0.3044008101971065
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.953125,0.20345303458371095,0.0731842090010462,0.28896758884098567
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.0532852564102564,0.1972102012904854,0.06934314936012588,0.2794335476056805
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.1534455128205128,0.19189993215344903,0.07602004336904217,0.2634009923377453
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.253605769230769,0.1881466294825219,0.07845629312954246,0.25410723148605446
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.3537660256410255,0.1843839551221561,0.07803709375354581,0.24603155113065114
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.453926282051282,0.1799368026835047,0.07637157495082104,0.23474321835020637
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.5540865384615383,0.17587419833396223,0.07418755639127228,0.2351313894762533
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.6542467948717947,0.1710401943193392,0.0713065216201501,0.23933360676614748
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.754407051282051,0.16687485657285062,0.06567519027854152,0.23255298200413227
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.8545673076923075,0.16328042887503702,0.05874030464600771,0.22118174216617237
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.9547275641025643,0.16036033169313987,0.05870587418489449,0.21882584668814004
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.0548878205128207,0.15754877462881253,0.05774961196527102,0.2202653795683494
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.155048076923077,0.15536588342295288,0.05226162672330656,0.21996160657753863
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.2552083333333335,0.1527055822333501,0.053688630881247645,0.21443928910968646
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.35536858974359,0.14950027753154363,0.05598867806338292,0.20698721560583555
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.4555288461538463,0.14737395505765322,0.05468995153692617,0.19849410635033093
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.5556891025641026,0.1460253858033331,0.05429606569453067,0.19740969054278507
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.655849358974359,0.14420545256429473,0.06470519416493367,0.1886552454409388
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.7560096153846154,0.14267823115967046,0.06351468219247303,0.18999989685981206
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.856169871794872,0.14161568120336804,0.06466579374957725,0.19602829273385386
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.956330128205128,0.14121301732018135,0.06288377959387276,0.19079727596924415
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.056490384615385,0.14068077584399694,0.06514071780742217,0.19709757102236156
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.156650641025641,0.14080310164071994,0.06110112608376177,0.18743580288767075
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.256810897435898,0.14101044860660594,0.057744913746589015,0.17942771257790704
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.356971153846154,0.14183719373135856,0.06096331277288625,0.18436096957606138
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.457131410256411,0.14212748292596938,0.06229689160305767,0.17908024261979308
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.557291666666667,0.14222912853534753,0.06270982298990631,0.17648766808291194
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.657451923076923,0.1416966523926676,0.06342447969369011,0.17311616473549699
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.75761217948718,0.1407690574903846,0.06383446087378865,0.17330470198575695
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.857772435897436,0.14023823965631038,0.06211404319238856,0.17713922055198597
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.9579326923076925,0.14037562469166967,0.05961882998727474,0.18202021371444502
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.058092948717949,0.14067712658416603,0.05789933598940914,0.1857261010733336
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.158253205128205,0.1405747065449917,0.060276546645051006,0.1882740122899869
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.258413461538462,0.1400558617178423,0.05490279176650118,0.19106649161730227
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.358573717948718,0.139384785746421,0.056985678070317604,0.1940448862958075
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.4587339743589745,0.13891519301541774,0.060275839133466666,0.19639885921490668
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.558894230769231,0.13894135368156862,0.05739698224594401,0.1956817311847629
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.659054487179487,0.1388223992115513,0.0517908599234241,0.19869919759506863
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.759214743589744,0.1382249920822572,0.04622091160080441,0.20021343687745313
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.859375,0.13759188648520285,0.04533055541018614,0.2084885780316197
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.959535256410256,0.13719745859113602,0.045526072319116324,0.20557720694549586
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.059695512820513,0.13731960725289588,0.049139190901701414,0.2017745323832636
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.159855769230769,0.13794536335322038,0.05386781115915413,0.2017625775010264
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.2600160256410255,0.13842802774717974,0.05765067546620499,0.1945096657256471
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.360176282051282,0.13870465499557644,0.06077428070930363,0.18645381058642482
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.460336538461538,0.13914271233558456,0.06710208055562575,0.18175893370155383
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.560496794871795,0.13971850066572536,0.06895932540449157,0.17976067967957796
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.660657051282051,0.1401898645946933,0.0712568007197354,0.18080101219837247
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.7608173076923075,0.14046262142424357,0.07168965376858251,0.18305861176429433
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.860977564102564,0.14046753443567866,0.07029861993105689,0.18400761715858238
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.96113782051282,0.14007044981728659,0.06886619725104749,0.18726369084958358
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.061298076923077,0.1395674073565428,0.06381068510975563,0.18528762448418984
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.161458333333333,0.13914118439735393,0.060583344484863806,0.18098916960953887
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.261618589743589,0.13892200659424078,0.05851844813404398,0.18500743018944776
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.361778846153846,0.13871833814065812,0.0585522760775717,0.18935694270430686
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.461939102564102,0.13877451691396142,0.060498486412719175,0.19398494500784177
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.562099358974359,0.13932245756133452,0.0650548672896988,0.1971595664072064
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.662259615384615,0.1402159074096239,0.06606684944560562,0.19639804153148707
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.762419871794871,0.14132948971018153,0.06822717183993815,0.1973062692581589
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.862580128205129,0.1423986380198799,0.06536695494861025,0.19819482597168925
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.962740384615385,0.14308353679676653,0.06293910408159067,0.19708573620318998
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.06290064102564,0.14322985178789543,0.06671121012407882,0.18996422832882495
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.163060897435898,0.1433081080585516,0.0673971072997509,0.19077074586014983
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.263221153846153,0.14336652512228912,0.06888642578997783,0.18917608880973075
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.36338141025641,0.14348433135426214,0.06962036037446233,0.18886618407206626
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.463541666666666,0.1435340924719627,0.06776350205112167,0.19143284454193482
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.563701923076923,0.14375556765727893,0.06754879509280776,0.19206134159092947
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.663862179487179,0.1442747473891239,0.06676285841128225,0.18754094493879403
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.764022435897436,0.14480067419534134,0.06546007473025842,0.1866337557138454
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.864182692307692,0.14504131679481982,0.06546144045199435,0.18660130091213284
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.964342948717949,0.14509380219001256,0.06878257283644944,0.1882749548331617
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.064503205128204,0.14540693729715837,0.06854727746209649,0.18975979049806052
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.164663461538462,0.1463905245106865,0.07020425859936394,0.18843029526788288
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.264823717948717,0.14768319587342574,0.0716260240569729,0.19067355094538507
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.364983974358974,0.1487134757159506,0.07566134200794092,0.19327382558092776
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.46514423076923,0.1493846941501337,0.07640544316723019,0.19717709500479855
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.565304487179487,0.1500277295405362,0.07514330547347732,0.20009811672247022
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.665464743589743,0.15087953265934048,0.06802569520819847,0.20338476826357446
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.765625,0.15162913925410268,0.0671651326051875,0.20890617176416001
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.865785256410257,0.1521985534048925,0.06722629086332307,0.20959637939629064
g1200,Gap_12_9mps,forested,1,1000,100,50155,9.965945512820513,0.1524488025284147,0.061794742607283445,0.205479369560824
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.05008012820512821,0.33130249573282305,0.13886820658236254,0.439524594531395
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.1502403846153846,0.3089490278684084,0.11749475467938722,0.4177043438654161
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.250400641025641,0.5076888445710809,0.14507366179870962,0.5619996279989541
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.3505608974358974,0.30936190709770134,0.09434340495798957,0.3337051369890964
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.45072115384615385,0.11627438656487091,0.0383762811388893,0.16372754993624694
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.5508814102564102,0.0690392929349522,0.027324096555590222,0.09820745930917711
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.6510416666666666,0.06012690259263364,0.028743009630995294,0.0839496989698265
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.7512019230769231,0.0571712160677916,0.022380403629842296,0.08480250984421817
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.8513621794871795,0.05439063469236111,0.016717074323027388,0.07938261982562136
g1200,Gap_12_9mps,forested,10,1000,100,50155,0.9515224358974359,0.052275963562580866,0.015566867651603087,0.079820112011553
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.0516826923076923,0.05202023042650214,0.017333744941087706,0.07628743900923543
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.1518429487179487,0.05307091555232159,0.01861617078717335,0.07430371362444357
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.252003205128205,0.054586615096453545,0.019354854351558825,0.07861273975584768
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.3521634615384615,0.05531812858957594,0.023087521150852754,0.07933650486053266
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.4523237179487178,0.05558800200668397,0.01755242395245033,0.08176400689409064
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.5524839743589745,0.05526281485367379,0.02231139727043539,0.0832888415100656
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.6526442307692308,0.05545942080764393,0.025791085695901435,0.08472374031444413
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.7528044871794872,0.05567978565047265,0.02458445717298461,0.08016202184115488
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.8529647435897436,0.05523314239898238,0.02279518955732208,0.07958338571171736
g1200,Gap_12_9mps,forested,10,1000,100,50155,1.953125,0.05437960198448305,0.024972597831388027,0.08046386014676278
g1200,Gap_12_9mps,forested,10,1000,100,50155,2.0532852564102564,0.05404124767285218,0.025042813925756552,0.07665398061929032
g1200,Gap_12_9mps,forested,10,1000,100,50155,2.1534455128205128,0.053467003307901974,0.02147846364040079,0.07714810224768306
