case_alias,case_name,surface,ntwr,reference_towers,n_repeats,n_candidate_towers,z_over_h,mean_deviation,q25_deviation,q75_deviation
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.05008012820512821,0.639703450170012,0.3351663998215124,0.7732095259239995
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.1502403846153846,0.73739576840994,0.35905147826602657,0.8000269515903098
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.250400641025641,0.5245879506177917,0.31788095718093834,0.6924665799139943
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.3505608974358974,0.33616047049399866,0.16465318120429323,0.4718870088076013
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.45072115384615385,0.16579597031360915,0.04692747052081468,0.22106909822044596
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.5508814102564102,0.13379214910620033,0.03873672162669717,0.15436224473658003
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.6510416666666666,0.118306161676296,0.045073605435077706,0.13539875593192727
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.7512019230769231,0.10660221930193439,0.03636422018674709,0.12256601740771329
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.8513621794871795,0.09407347709683682,0.03202195624541843,0.11689508644734228
g1200,Gap_12_9mps,forested,1,1000,100,50155,0.9515224358974359,0.08092935143623244,0.03126623408239972,0.11317963019766965
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.0516826923076923,0.07794770418366144,0.02771765928102901,0.09518401033223708
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.1518429487179487,0.0821202295499227,0.027798537814092302,0.09718614033475909
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.252003205128205,0.08809252133787507,0.03265730906284854,0.10127519438748799
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.3521634615384615,0.09294621888321783,0.028643762197133438,0.09804746776134893
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.4523237179487178,0.09820605780623799,0.03456367582179122,0.10078624864121533
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.5524839743589745,0.102957674696881,0.035198427888219315,0.10617686679425452
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.6526442307692308,0.10547615266348224,0.03711149910653533,0.10992166176766231
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.7528044871794872,0.10414829590595338,0.03290247181546591,0.11963081239854254
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.8529647435897436,0.1001602047143898,0.03192924340571829,0.11533989390840507
g1200,Gap_12_9mps,forested,1,1000,100,50155,1.953125,0.09718060561321552,0.025261413783095082,0.105352607262315
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.0532852564102564,0.09408069323465593,0.027482158056697032,0.11285009467927387
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.1534455128205128,0.09390688552609928,0.028672726495987455,0.10937585605151448
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.253605769230769,0.09511834660770706,0.03891512105600947,0.11368605659399147
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.3537660256410255,0.09543620688418095,0.030745198252288976,0.11437941642576187
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.453926282051282,0.09624622424804594,0.034502731687586226,0.12378611770231718
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.5540865384615383,0.09680891118736437,0.031229042819274837,0.13269252493162215
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.6542467948717947,0.09804011103014525,0.03527879593190458,0.13236097188521972
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.754407051282051,0.09900726087969094,0.03312954004377766,0.13173909627345498
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.8545673076923075,0.0996586225913235,0.039853278600010394,0.14474694661181625
g1200,Gap_12_9mps,forested,1,1000,100,50155,2.9547275641025643,0.10011908146313418,0.03864073116839649,0.13927274779387266
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.0548878205128207,0.10036284995214086,0.03640110080501634,0.14011063761028902
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.155048076923077,0.09961267891666575,0.047247786330227005,0.13515198893108102
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.2552083333333335,0.09782026158521823,0.0388635694750697,0.13763906658528263
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.35536858974359,0.09568322115460105,0.03720356507472561,0.1351271118892891
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.4555288461538463,0.093488588637576,0.032014425875005886,0.13487025094840135
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.5556891025641026,0.09167002641528554,0.03357849823260475,0.14422816753854814
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.655849358974359,0.09045269620199894,0.034934649084527536,0.14853492601553775
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.7560096153846154,0.08960501213184999,0.03364209448940411,0.14760562415851802
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.856169871794872,0.08986696404412506,0.02794564231943722,0.149048808018351
g1200,Gap_12_9mps,forested,1,1000,100,50155,3.956330128205128,0.09018527755745766,0.026876648639916383,0.14283404238032585
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.056490384615385,0.0910670637979311,0.02898031776474138,0.14368276018900683
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.156650641025641,0.09210179223541654,0.03168177543385561,0.1424809166951214
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.256810897435898,0.09312664072918944,0.033338968792043275,0.13885074666353026
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.356971153846154,0.09512718582829781,0.03643150217087405,0.14077881739465942
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.457131410256411,0.097144923315279,0.041637862185984906,0.13795492213716623
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.557291666666667,0.09794412117579407,0.04646908085098133,0.13864083341700723
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.657451923076923,0.09771685850103898,0.046322451427561584,0.13577874121183775
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.75761217948718,0.0970296202485832,0.04244877862841961,0.12887272051048929
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.857772435897436,0.09608929346688373,0.038333415854885144,0.12752529175786498
g1200,Gap_12_9mps,forested,1,1000,100,50155,4.9579326923076925,0.09525233505889241,0.03930895236775253,0.12946720210113
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.058092948717949,0.09437406943210626,0.04242895440691216,0.12633467949195065
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.158253205128205,0.09360346085738704,0.03864120887363358,0.1320638636241881
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.258413461538462,0.09282357423753183,0.041231083169319144,0.1366872998394592
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.358573717948718,0.09215661049858802,0.03909058504030668,0.13770938675987526
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.4587339743589745,0.09170951084287995,0.03627748059465495,0.13547726950650157
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.558894230769231,0.09114886005027867,0.03448049258546163,0.13100816087278755
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.659054487179487,0.09085244363596506,0.03527898451199559,0.1276125698866073
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.759214743589744,0.09083292775741388,0.034542959573995585,0.1237577524517343
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.859375,0.09093021145587525,0.034742505665482544,0.1231500578488954
g1200,Gap_12_9mps,forested,1,1000,100,50155,5.959535256410256,0.09094747080374754,0.03632860050386164,0.1279003355151954
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.059695512820513,0.09045423147286501,0.041925986258691254,0.1305770592882378
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.159855769230769,0.08999942644843513,0.03496511163582022,0.13090970058794432
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.2600160256410255,0.09010699356466809,0.03796986382751255,0.12860691233752572
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.360176282051282,0.09052652552389874,0.03744205238836791,0.12687869085530706
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.460336538461538,0.09109252075801084,0.03913637932029834,0.12855397030967858
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.560496794871795,0.09153918247602479,0.040349039858755695,0.12648737062515655
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.660657051282051,0.09165072776782425,0.04253189553547931,0.12348446347213451
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.7608173076923075,0.09141130633317285,0.0405671446985219,0.12403677268956295
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.860977564102564,0.09074536554484759,0.04344642727283563,0.12507674624003728
g1200,Gap_12_9mps,forested,1,1000,100,50155,6.96113782051282,0.08960308027581167,0.042431692433099355,0.12706050080246625
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.061298076923077,0.08859087224213008,0.04454642322479126,0.12700944048402035
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.161458333333333,0.08806361995888844,0.04158210075408506,0.12343668359809883
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.261618589743589,0.08798216699817095,0.03643306236028626,0.1217099453789309
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.361778846153846,0.08769601166369945,0.04023671108337321,0.1202748783304196
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.461939102564102,0.0872074733590988,0.04021144218159881,0.11517626043740443
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.562099358974359,0.08689489107335989,0.03949830360082447,0.11142108906101662
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.662259615384615,0.08657793677781647,0.03819474101437669,0.1131572635454647
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.762419871794871,0.0860241152721745,0.03778216270088693,0.11587270777094645
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.862580128205129,0.08515512071257475,0.036418530779984415,0.11393960095714399
g1200,Gap_12_9mps,forested,1,1000,100,50155,7.962740384615385,0.08441516850332263,0.03534334305624368,0.11774812537480418
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.06290064102564,0.08341244196485087,0.03333765444549943,0.11898210865224779
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.163060897435898,0.08209000460435219,0.03139953240456019,0.11923881771404968
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.263221153846153,0.08075238375738085,0.025326001998443485,0.11671662085320389
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.36338141025641,0.07991122770393934,0.022516708288552803,0.11460897747888452
g1200,Gap_12_9mps,forested,1,1000,100,50155,8.463541666666666,0.07940091302501208,0.024592985140035106,0.11419467486226706
